Airline,Departure,Arrival,Price,Duration,Flight_num
لوفتهانزا,"02:30
تهران (IKA)","15:10
اسلو (OSL)","457,250,000",36 ساعت و 40 دقیقه,لوفتهانزا 601
لوفتهانزا,"02:30
تهران (IKA)","15:10
اسلو (OSL)","457,250,000",36 ساعت و 40 دقیقه,لوفتهانزا 601
لوفتهانزا,"02:30
تهران (IKA)","15:10
اسلو (OSL)","457,250,000",36 ساعت و 40 دقیقه,لوفتهانزا 601
ترکیش ایرلاینز,"02:05
تهران (IKA)","16:25
اسلو (OSL)","461,280,000",14 ساعت و 20 دقیقه,ترکیش ایرلاینز 881
ترکیش ایرلاینز,"06:30
تهران (IKA)","10:35
اسلو (OSL)","461,280,000",28 ساعت و 5 دقیقه,ترکیش ایرلاینز 873
ترکیش ایرلاینز,"07:55
تهران (IKA)","10:35
اسلو (OSL)","461,280,000",26 ساعت و 40 دقیقه,ترکیش ایرلاینز 879
ترکیش ایرلاینز,"03:15
تهران (IKA)","16:25
اسلو (OSL)","461,280,000",13 ساعت و 10 دقیقه,ترکیش ایرلاینز 875
ترکیش ایرلاینز,"06:30
تهران (IKA)","16:25
اسلو (OSL)","461,280,000",9 ساعت و 55 دقیقه,ترکیش ایرلاینز 873
ترکیش ایرلاینز,"07:55
تهران (IKA)","16:25
اسلو (OSL)","461,280,000",8 ساعت و 30 دقیقه,ترکیش ایرلاینز 879
ترکیش ایرلاینز,"05:30
تهران (IKA)","16:25
اسلو (OSL)","467,745,000",10 ساعت و 55 دقیقه,ترکیش ایرلاینز 7689
ترکیش ایرلاینز,"06:30
تهران (IKA)","20:00
اسلو (OSL)","472,446,000",13 ساعت و 30 دقیقه,ترکیش ایرلاینز 873
ترکیش ایرلاینز,"07:55
تهران (IKA)","20:00
اسلو (OSL)","472,446,000",12 ساعت و 5 دقیقه,ترکیش ایرلاینز 879
ترکیش ایرلاینز,"06:30
تهران (IKA)","22:10
اسلو (OSL)","472,446,000",15 ساعت و 40 دقیقه,ترکیش ایرلاینز 873
ترکیش ایرلاینز,"03:15
تهران (IKA)","20:00
اسلو (OSL)","472,446,000",16 ساعت و 45 دقیقه,ترکیش ایرلاینز 875
ترکیش ایرلاینز,"07:55
تهران (IKA)","22:10
اسلو (OSL)","472,446,000",14 ساعت و 15 دقیقه,ترکیش ایرلاینز 879
ترکیش ایرلاینز,"02:05
تهران (IKA)","20:00
اسلو (OSL)","474,717,000",17 ساعت و 55 دقیقه,ترکیش ایرلاینز 881
ترکیش ایرلاینز,"03:15
تهران (IKA)","22:10
اسلو (OSL)","474,717,000",18 ساعت و 55 دقیقه,ترکیش ایرلاینز 875
ترکیش ایرلاینز,"02:05
تهران (IKA)","22:10
اسلو (OSL)","475,088,000",20 ساعت و 5 دقیقه,ترکیش ایرلاینز 881
ترکیش ایرلاینز,"05:30
تهران (IKA)","22:10
اسلو (OSL)","478,910,000",16 ساعت و 40 دقیقه,ترکیش ایرلاینز 7689
ترکیش ایرلاینز,"05:30
تهران (IKA)","20:00
اسلو (OSL)","478,910,000",14 ساعت و 30 دقیقه,ترکیش ایرلاینز 7689
لوفتهانزا,"02:30
تهران (IKA)","13:00
اسلو (OSL)","550,853,000",10 ساعت و 30 دقیقه,لوفتهانزا 601
لوفتهانزا,"02:30
تهران (IKA)","16:35
اسلو (OSL)","552,549,000",14 ساعت و 5 دقیقه,لوفتهانزا 601
لوفتهانزا,"02:30
تهران (IKA)","16:35
اسلو (OSL)","552,549,000",14 ساعت و 5 دقیقه,لوفتهانزا 601
لوفتهانزا,"02:30
تهران (IKA)","16:45
اسلو (OSL)","554,419,000",14 ساعت و 15 دقیقه,لوفتهانزا 601
لوفتهانزا,"02:30
تهران (IKA)","13:40
اسلو (OSL)","554,419,000",11 ساعت و 10 دقیقه,لوفتهانزا 601
هواپیمایی اتریشی,"03:45
تهران (IKA)","13:45
اسلو (TRF)","752,024,000",10 ساعت,هواپیمایی اتریشی 872
هواپیمایی اتریشی,"03:45
تهران (IKA)","20:50
اسلو (OSL)","753,281,000",17 ساعت و 5 دقیقه,هواپیمایی اتریشی 872
هواپیمایی اتریشی,"03:45
تهران (IKA)","12:30
اسلو (OSL)","753,497,000",8 ساعت و 45 دقیقه,هواپیمایی اتریشی 872
هواپیمایی اتریشی,"03:45
تهران (IKA)","14:50
اسلو (OSL)","756,177,000",11 ساعت و 5 دقیقه,هواپیمایی اتریشی 872
هواپیمایی اتریشی,"03:45
تهران (IKA)","12:25
اسلو (OSL)","756,177,000",8 ساعت و 40 دقیقه,هواپیمایی اتریشی 872
هواپیمایی اتریشی,"03:45
تهران (IKA)","14:50
اسلو (OSL)","756,177,000",11 ساعت و 5 دقیقه,هواپیمایی اتریشی 872
هواپیمایی اتریشی,"03:45
تهران (IKA)","14:50
اسلو (OSL)","756,177,000",11 ساعت و 5 دقیقه,هواپیمایی اتریشی 872
هواپیمایی اتریشی,"03:45
تهران (IKA)","12:25
اسلو (OSL)","756,177,000",8 ساعت و 40 دقیقه,هواپیمایی اتریشی 872
هواپیمایی اتریشی,"03:45
تهران (IKA)","14:50
اسلو (OSL)","758,244,000",11 ساعت و 5 دقیقه,هواپیمایی اتریشی 872
لوفتهانزا,"02:30
تهران (IKA)","12:30
اسلو (OSL)","760,964,000",10 ساعت,لوفتهانزا 601
هواپیمایی اتریشی,"03:45
تهران (IKA)","14:50
اسلو (OSL)","762,956,000",11 ساعت و 5 دقیقه,هواپیمایی اتریشی 872
هواپیمایی اتریشی,"03:45
تهران (IKA)","14:50
اسلو (OSL)","762,956,000",11 ساعت و 5 دقیقه,هواپیمایی اتریشی 872
لوفتهانزا,"02:30
تهران (IKA)","13:00
اسلو (OSL)","765,997,000",10 ساعت و 30 دقیقه,لوفتهانزا 601
لوفتهانزا,"02:30
تهران (IKA)","13:40
اسلو (OSL)","765,997,000",11 ساعت و 10 دقیقه,لوفتهانزا 601
لوفتهانزا,"02:30
تهران (IKA)","13:45
اسلو (TRF)","766,224,000",11 ساعت و 15 دقیقه,لوفتهانزا 601
لوفتهانزا,"02:30
تهران (IKA)","13:30
اسلو (OSL)","769,147,000",11 ساعت,لوفتهانزا 601
لوفتهانزا,"02:30
تهران (IKA)","13:15
اسلو (OSL)","773,909,000",10 ساعت و 45 دقیقه,لوفتهانزا 601
هواپیمایی اتریشی,"03:45
تهران (IKA)","11:55
اسلو (OSL)","864,480,000",8 ساعت و 10 دقیقه,هواپیمایی اتریشی 872
هواپیمایی اتریشی,"03:45
تهران (IKA)","16:15
اسلو (OSL)","864,480,000",12 ساعت و 30 دقیقه,هواپیمایی اتریشی 872
هواپیمایی اتریشی,"03:45
تهران (IKA)","13:45
اسلو (TRF)","871,563,000",10 ساعت,هواپیمایی اتریشی 872
هواپیمایی اتریشی,"03:45
تهران (IKA)","11:55
اسلو (OSL)","871,563,000",8 ساعت و 10 دقیقه,هواپیمایی اتریشی 872
هواپیمایی اتریشی,"03:45
تهران (IKA)","14:50
اسلو (OSL)","1,090,729,000",11 ساعت و 5 دقیقه,هواپیمایی اتریشی 872
هواپیمایی اتریشی,"03:45
تهران (IKA)","14:50
اسلو (OSL)","1,090,729,000",11 ساعت و 5 دقیقه,هواپیمایی اتریشی 872
هواپیمایی اتریشی,"03:45
تهران (IKA)","12:25
اسلو (OSL)","1,090,729,000",8 ساعت و 40 دقیقه,هواپیمایی اتریشی 872
هواپیمایی اتریشی,"03:45
تهران (IKA)","14:50
اسلو (OSL)","1,122,768,000",11 ساعت و 5 دقیقه,هواپیمایی اتریشی 872
هواپیمایی اتریشی,"03:45
تهران (IKA)","12:25
اسلو (OSL)","1,122,768,000",8 ساعت و 40 دقیقه,هواپیمایی اتریشی 872
لوفتهانزا,"02:30
تهران (IKA)","12:25
اسلو (OSL)","1,140,659,000",9 ساعت و 55 دقیقه,لوفتهانزا 601
لوفتهانزا,"02:30
تهران (IKA)","14:50
اسلو (OSL)","1,140,659,000",12 ساعت و 20 دقیقه,لوفتهانزا 601
